index,pca-cosine1,pca-cosine2,pca-cosine3,pca-cosine4,pca-cosine5,pca-cosine6,pca-cosine7,pca-cosine8,pca-cosine9,pca-cosine10,pca-cosine11,pca-cosine12,pca-cosine13,pca-cosine14,pca-cosine15,pca-cosine16,pca-cosine17,pca-cosine18,pca-cosine19,pca-cosine20,pca-cosine21,pca-cosine22,pca-cosine23,pca-cosine24,pca-cosine25,pca-cosine26,pca-cosine27,pca-cosine28,pca-cosine29,pca-cosine30,class
0,-0.081966379,-0.195360818,-0.033161513,-0.121359942,-0.831367576,-0.260193096,0.721432956,1.756523853,0.297716249,-0.993419952,-0.039962945,-1.114298328,2.07505526,-0.074437608,-0.682136951,-0.768024441,-0.413473761,0.884940265,-0.990813162,0.660293336,-0.179059077,-0.263181143,-0.067789889,-0.176877098,-0.28138617,-0.103239829,0.259679313,1.618931357,-0.000462416,1.14092831,1
1,0.012199954,-0.636827222,0.148291696,0.105825847,0.222811319,0.163002861,0.106502325,1.913422033,1.3462153,0.153245447,0.50880009,-0.406841667,0.305234301,1.107212434,0.856729175,1.6332044,1.094474182,0.446570157,0.786341731,2.036629029,0.84487682,-0.147541686,0.878491314,0.950287492,0.111030155,0.093006162,2.040853788,1.396548895,0.09566804,0.009618638,1
2,0.068380317,0.627137942,0.091517346,-0.003153914,0.157761698,0.724992024,1.419960225,1.769583802,0.200812975,-0.791039519,1.903278472,-0.804149216,1.745327598,0.005285334,-1.162308652,-0.496330856,0.036470737,0.025666431,-0.981590137,-0.698924931,0.004820539,0.67170724,0.019084147,-0.104377949,0.916981731,0.732460133,1.30043038,1.726808874,0.787996975,0.531146827,1
3,0.569757384,0.5795836,0.591283758,0.658659528,1.633696089,1.702603604,0.817154666,1.025597812,1.596172277,0.077246267,-0.028112416,0.672815735,0.028719825,-0.00369242,1.271979913,1.073227781,0.382024853,0.93024844,-0.462888572,1.751282772,1.123120235,0.53416215,1.054397821,1.405671374,1.439680348,1.319806503,0.626175698,1.045842526,0.855281004,0.111284314,1
4,0.440683728,1.111693327,0.586891984,0.41849705,0.323217296,0.149286309,-0.237127678,0.094676471,0.105831332,0.056161063,0.392446268,-0.168555784,0.623149651,0.731879855,-0.221985199,2.022000475,1.206344333,0.686314275,0.813243606,1.06412278,0.943884032,1.284012494,1.097415678,1.045823904,2.436945343,0.018596535,0.113479264,1.932905394,0.069336176,0.09715281,1
5,1.756446728,1.232655909,1.692280651,2.079896744,-0.725295415,-0.406363832,-0.402818305,0.096021549,-0.778363389,-0.741479856,1.006128531,0.266798642,0.625308103,-0.043905943,-1.15705863,-0.799274061,-0.645197934,-0.534591808,-0.678099158,0.057986323,2.022050374,1.435551915,1.930058798,0.347036386,-0.347050335,-0.332972204,-0.180783454,0.175582667,0.363545976,0.505903398,1
6,1.452198474,0.151891163,1.452008455,1.703544936,0.37064287,1.082845146,0.878224044,1.167841839,0.366658201,-0.009045038,2.003845383,-0.106936307,1.748578331,0.062297567,-0.057018275,1.83717769,0.54966301,0.632033547,0.422045854,0.984269912,0.205287233,0.467113713,0.149177418,-0.009560392,0.629206289,0.060514785,1.089513638,1.25910996,0.139045456,0.015781743,1
7,1.584096071,1.354654108,1.557475233,1.951762687,-0.547378545,0.368109812,0.901339287,0.858865759,0.398987764,-1.299719824,1.165965528,0.130106156,1.042128282,0.009931419,-0.114817944,1.149014167,1.683280019,0.156674207,-0.067477279,0.074305125,1.295055741,0.612024193,1.246562841,1.534663378,-0.648639054,0.028143327,0.317493006,0.398958948,0.089036218,-1.140220261,1
8,0.699163526,1.173640111,0.886012216,0.723772247,1.57913636,0.160552905,-0.057208666,1.854924885,1.374545011,0.05258924,-0.551342096,0.282087416,0.080404176,-0.10133647,0.277276276,0.027190679,0.035903787,1.314219222,0.385980624,0.073322551,0.677657232,1.281917794,1.012179624,0.703203478,1.808688321,0.028658547,0.071832271,1.93177252,1.819594874,0.129198874,1
9,0.835477802,0.166131577,0.931529238,1.05437822,1.286965047,1.337021308,0.065369507,1.29486196,0.215199542,1.348318123,0.718311777,0.009173658,0.860238232,1.335313115,-0.18259162,0.246008853,1.213958941,0.218839888,0.049294559,1.681882209,1.327679862,1.391412382,1.483954161,1.530891702,1.430416752,0.054964282,0.140765066,1.088877361,0.082259614,0.143369601,1
10,1.352100376,0.611393616,1.381428752,1.625126043,0.454486929,-0.141098852,0.456900406,0.928588953,-0.649350022,-0.401120723,2.115017476,0.446724047,1.729257505,0.056686044,-0.264224542,-0.577341895,-0.045113843,0.24112917,-0.867560081,-0.609719168,2.2690966,1.143854225,2.21285283,0.41491207,0.955611143,0.013770122,0.744249836,1.191257553,0.614016557,0.406475125,1
11,0.095546729,1.303238288,-0.036715301,-0.071000993,0.203096677,0.458238474,2.171996334,-0.182433555,-0.888075633,-1.513546754,-0.074685706,-0.051400186,-0.049877142,-0.099908227,0.269993909,0.032900376,0.86891728,1.319727798,-1.032844759,-0.768731485,-0.165578185,1.177573034,-0.126910179,-0.118229434,1.08882085,1.269693925,2.38192015,0.11151176,-0.121567032,-0.16877638,1
12,0.751902001,-1.563668476,0.724731733,0.954621249,0.50750493,-0.132058395,0.385260864,0.916329915,0.789677871,-0.91865304,-0.140038748,-1.063435433,0.052287427,0.763928501,2.16052857,-0.531739241,0.151706631,1.07395235,0.654572346,-0.671583385,0.877267697,-1.428008834,0.823838183,1.147787612,1.032497482,-0.227739168,0.406503414,0.845544938,0.69631782,-0.736664788,0
13,0.287362659,-0.876692227,0.318588998,0.359328898,1.346553246,1.343664816,-0.198305405,-0.069488457,1.264683892,1.814231035,-1.31139139,-1.126201126,-1.151132933,-1.07498857,-1.441426365,0.070473085,-0.477423926,-1.184109608,-0.311257243,-0.418528876,0.391583991,-0.934416996,0.377531075,0.365482989,0.194658412,0.932138083,-0.045741948,-0.337459633,1.239929435,0.585132144,0
14,-1.731975556,-1.538964765,-1.705451577,-1.654270994,0.492585041,-0.618002966,-0.691177554,-0.670201908,0.107100921,1.447011074,-0.138737484,-0.195927028,-0.201230158,-0.696651883,0.029176534,-0.441199845,-0.257854219,0.699982245,0.629146267,0.182080728,-1.682892182,-1.55860042,-1.648205072,-1.651493869,0.068346826,-0.900172222,-0.88608845,-0.826414935,-0.750256189,-0.006943082,0
15,0.049356275,1.468387402,0.067414774,-0.035584159,0.085657932,0.489154926,1.295765547,2.170312461,0.088505588,-1.610632343,-0.145460852,0.188848352,-0.098662987,-0.108680617,-0.864068519,-0.599531975,-0.333337438,-0.010289685,-1.582028369,-0.828507868,-0.071371799,1.954053786,-0.033569774,-0.042021593,0.663553968,0.672600031,0.914393774,1.758480431,0.17755659,-0.222143414,1
16,1.689434949,0.935372921,1.714112263,0.164804106,1.177353458,1.510919361,1.722212387,0.07090525,0.963815214,0.395771684,-0.055481607,-0.321809469,-0.016828539,-0.038671562,0.117230215,0.135720118,0.416190453,0.309664414,-0.569468799,-0.008284202,0.101598302,1.095613983,0.056436493,-0.025250646,0.321047396,1.466221621,1.679718708,1.598945185,1.691306985,1.359507402,1
17,0.983300133,0.847134647,1.088337571,1.193535882,0.859687742,0.055316553,1.610929399,1.999196931,0.046397661,1.285667315,-0.246570082,-0.106168933,0.063338332,0.140358129,-0.928053223,1.015436743,0.394095673,0.528142423,-0.577032812,0.693036594,1.575766622,1.253800848,1.708926556,1.701437984,0.991921615,-0.124937614,0.094867301,0.119929686,0.021415746,0.024500386,1
18,0.002625953,0.508360609,0.015665135,-0.025513513,0.064811997,0.532994909,1.926263054,1.686433101,-0.216121686,-0.665012341,-0.092357921,1.964708525,-0.071702363,-0.110107338,-0.049404944,0.942811323,1.858089492,2.008598675,1.129392915,1.228773005,-0.131382378,0.435758509,-0.048724205,-0.055676282,0.192026027,0.200337377,0.959739836,0.793466958,-0.937906487,-0.255416538,1
19,1.194502847,1.699359749,1.310926541,1.346382247,1.031071209,0.225194843,-0.025641761,1.717328888,0.612212666,0.709903409,1.322036783,-0.04243496,1.52586248,-0.027241819,-0.346409726,0.963582798,0.824448455,0.198750984,0.060849517,0.171918699,0.19223834,1.762741299,0.15226514,0.011924359,1.561843873,0.101824396,0.032262339,1.413350612,0.199112052,1.456589867,1
20,-0.087503203,-1.245805592,0.007957301,-0.066973368,0.559685799,1.167757317,1.419806967,2.56714045,0.035335333,0.23169246,-0.219944256,-0.784494317,-0.144285672,-0.137731892,-0.303910328,1.74434605,1.255712524,1.135181019,0.5279712,1.187313052,-0.132295102,-1.258424605,-0.086956242,-0.039948767,-0.164046885,1.100246969,0.617346611,1.164648459,-0.02929405,0.267108674,1
21,-0.180550753,0.183242637,-0.067746682,-0.025074474,1.24884028,1.480322059,1.271534277,0.952862845,0.190363184,0.055526601,1.889889075,0.039082978,1.792601309,0.090417577,-0.285025231,1.489997637,1.301694228,0.216188507,0.857971895,0.058761612,1.304834935,0.532823726,1.498921462,1.502399471,1.457548105,0.082012253,0.105745418,0.946873503,0.099496317,-0.040901424,1
22,1.719372531,1.317657198,1.757819128,0.191746939,1.607277872,1.469640371,0.051647791,0.114226284,1.761832112,0.449779126,0.061127166,0.67188272,0.07499699,-0.061225586,1.096129523,1.121315845,1.519093329,0.441024415,0.50445561,0.744994773,0.106237406,1.135853804,0.126437859,-0.020200076,1.476858106,1.260337202,0.250156112,1.273895965,1.377128806,0.64523951,1
23,1.472779486,0.081833767,1.502607158,0.133746164,0.760156447,1.585835984,1.508515332,1.517620089,0.917998464,0.685908794,0.407044869,-0.824414839,0.140690752,1.837713959,-0.905958321,0.910963317,0.276896473,-0.166561847,-0.231671139,0.712699604,0.101585143,0.432975342,0.085937776,-0.024675891,0.784713547,0.092823115,1.766996492,1.329439044,0.097535901,0.022614121,1
24,1.89463672,1.037925635,1.896425854,0.178427216,0.246361502,1.250463871,1.547249344,1.067222152,0.644274711,-0.874946109,1.657163724,-0.25624923,1.247818636,-0.089564628,-0.152098665,0.605515889,1.015549626,0.476231612,-0.037189316,-0.209844564,0.047669,0.834031856,0.080884599,-0.128046567,1.330113767,1.627266005,0.208778703,1.328854984,0.102836725,0.682673856,1
25,0.737662584,0.866213742,0.810965047,0.936621892,0.364601129,0.725400462,1.465763427,0.910659087,0.522266688,0.1422873,0.120214925,-0.033900271,0.680422544,0.557327288,-0.095541036,1.015834165,1.481621934,0.450792649,0.459865633,0.91240522,0.878736683,0.872584678,1.159978099,1.058083825,0.685261637,1.862255153,1.811994617,0.905445761,1.504438018,1.701642821,1
26,0.024806553,0.000548821,-0.042447359,0.167962902,-0.496944003,-1.380261009,-0.685571434,-0.273367412,-1.260521999,-0.487850642,-1.014349209,-0.041263883,-1.144914185,-0.924700129,-0.87980667,-1.384795567,-0.67407662,0.115145014,1.833757238,-0.867221899,-0.372575859,-0.388755553,-0.473923276,-0.27918952,-1.51855403,-1.487590969,-1.080185007,-0.974388147,-1.724431462,-1.339949741,0
27,1.010132255,1.589918074,0.881827347,1.295279451,-0.162158317,-0.955618632,-0.662169041,-0.305521858,-0.712950528,-1.132016868,-0.044655101,0.039917796,-0.036631467,-0.057600638,0.514900319,-0.721567566,-0.291690021,1.704524843,-0.015372293,-0.880923037,0.377718605,0.163696187,0.218813829,0.575913278,-1.57010109,-1.356386201,-1.076238285,-0.95996136,-0.144893648,-1.789416829,1
28,0.49852775,0.629735831,0.564838987,0.605081886,0.731213853,1.189383512,1.194251198,0.958345656,-0.099365237,0.556097053,-0.695849833,-1.155363661,-0.587001893,-0.230916473,-0.338183562,0.48276529,0.673407576,0.550775192,-0.917211037,0.34258013,0.771939598,0.322711154,0.933303703,0.91882601,1.574062859,2.088527765,2.097051666,2.042102239,0.113571922,0.210924915,1
29,0.501733789,1.051576294,0.424632845,0.742622121,-1.150781002,-0.815959936,-0.610343826,-0.569862446,0.034741057,-1.22677651,-0.552683184,-0.798489192,-0.698657935,0.069920232,-1.974654974,-0.948995695,-0.745216711,-1.045128443,-1.119122817,-1.664037426,1.046960229,1.070335853,0.82037354,1.355424861,-1.167974465,0.023219683,0.065477568,0.178984295,0.547629158,-0.686911552,1
30,-0.937008786,1.006730234,-0.803450404,-0.883790865,0.155138284,1.076689256,1.18998257,0.97405745,0.637643189,1.701050187,-0.574926152,1.044391854,-0.332213778,-0.538462036,1.307558168,0.05988405,0.320401002,0.04198213,-0.928351134,0.277623918,-0.459062792,1.834496282,-0.323308582,-0.442413021,0.14344622,0.890678563,1.448299741,0.87697068,0.548705291,1.739490729,1
31,0.386295973,0.547094988,0.459304372,0.558976607,0.814877848,1.459322255,0.977040216,1.143391297,0.825684576,1.224717053,0.728785691,-0.550961426,0.550863244,1.466904529,-0.583747731,0.368889816,0.093702863,-0.08631767,-0.139057076,0.431175412,1.400067279,0.524036238,1.242692118,1.622985049,1.062696986,1.605753063,1.118116935,0.957746721,0.141330714,1.938055417,1
32,0.318850925,0.883732795,0.335677767,0.422156294,0.311547888,0.562657134,0.644177875,0.758211855,0.033991154,0.157643954,-0.80670672,-1.073094805,-0.783127384,-0.752803683,-1.46049769,-0.380469335,-0.407683106,-0.726457724,-1.335840008,-0.838702175,0.921333796,0.889002713,0.829969699,0.856331962,0.996078424,1.694688594,1.162198423,1.081260856,1.850269031,1.521005922,1
33,-0.182221319,-0.272007309,-0.218217515,-1.661107704,-0.482636773,-0.667752359,-0.772877474,-1.031765872,0.083224782,0.607058233,-1.071090996,-0.160197798,-1.089535964,-1.523867942,1.487404525,-0.264287958,-0.439321426,-0.807115873,1.429125756,-0.206653314,-1.823489645,-0.364369634,-1.745714745,-1.79075086,0.015087828,-0.604760106,-0.821887142,-1.034660312,0.498914495,-0.246144496,0
34,0.299026589,0.217654269,0.428200894,0.45584036,1.62405635,1.241105589,1.548286949,1.677553313,1.442888469,1.232797453,-0.035904644,-0.37605838,-0.100783934,0.567040082,0.335963318,0.581594928,0.63454361,0.449412387,-0.080538132,0.730567723,0.825449608,0.502369414,0.780062171,1.0663842,0.240220432,1.995285915,2.041096709,1.788539032,0.173180722,0.204798395,1
35,-0.548403708,-1.647311908,-0.593531777,-0.47617508,1.048818172,0.061498058,0.366059028,-0.442213656,-0.712282228,-0.107844176,-0.350883935,-1.564999771,-0.524731368,-0.15062877,-0.664370461,-0.823999402,-0.118176546,-1.811886002,-1.365117326,-0.68702829,-0.142031283,-1.197197833,-0.211022621,-0.105493275,1.610074971,0.266610096,0.997459306,-0.73217698,-0.176281005,0.639375374,0
36,0.700440536,1.757458848,0.637771365,0.908965163,-0.770315217,-0.401015607,-0.221151191,0.07659363,0.279813199,-1.216567939,-0.751709129,1.134809599,-0.622083667,0.019940769,-1.43872397,-0.702608989,-0.168727483,0.489175672,-0.546322641,-1.195626245,0.87352685,1.881826617,0.764360198,1.04741153,-0.992533637,-0.391850338,0.301910803,0.709352942,0.302840025,-1.169895359,0
37,-0.633167941,0.861888711,-0.658473917,-0.545680594,-0.761818061,-1.235568252,-1.019241484,-1.06298482,-1.246892132,-0.479509532,1.315154885,0.448877994,0.853861323,1.245150724,-0.088798223,-1.101096676,-0.957418295,-0.774231209,1.457300919,-1.081459899,-0.578408289,0.143683475,-0.670222111,-0.524252837,-1.187029872,-1.318489384,-1.208666381,-1.290101058,-0.92534173,-1.234925552,0
38,0.483213182,-0.684946189,0.409655045,0.700721332,-1.642778203,-1.012729206,-1.093909134,-0.904155694,-2.1572588,-0.386062241,-1.225338176,-0.504428272,-1.073699752,-1.068367297,-1.124160312,-0.9416285,-1.031171959,-0.79383544,-1.201784095,-0.425196583,0.365718362,-0.399339653,0.248581931,0.406252402,-1.253059701,-0.591470696,-0.830589384,-0.449473564,-1.241751236,0.149654982,0
39,-0.64524295,-0.164075036,-0.728503429,-0.591609506,-1.22662662,-1.56365915,-1.297327428,-1.269025768,0.512155007,0.034275894,-0.936222655,-1.515870447,-1.08065679,-0.703301291,0.912049329,-1.542743806,-1.095411472,-0.904772923,0.691858622,-0.389805427,-0.65918532,-0.856135766,-0.771530088,-0.579500518,-1.107153656,-1.575901017,-1.191335144,-1.099931576,-0.037296101,-0.568328519,0
